[ 2012-05-02T16:20:16+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:20:57+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:20:57+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:20:58+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:20:59+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:26:49+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:26:50+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:26:50+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:26:50+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:26:51+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:26:51+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:26:58+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:27:00+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:28:08+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:28:09+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:28:09+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:28:10+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:05+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:05+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:06+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:06+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:06+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:06+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:07+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:07+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:49+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:49+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:49+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:49+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:29:50+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:30:05+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:30:05+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:30:05+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:30:05+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:30:06+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:30:06+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:30:06+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:36:32+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:36:33+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:36:34+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:36:42+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2012-05-02T16:36:42+08:00 ] /index.php/User/index | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
